,text,airline_sentiment,clean_text,processed_text
39,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,negative, your chat support is not working on your site httptcovhp2gtwpk,chatsupportworkingsitehttptcovhp2gtwpk
40,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",positive, view of owntown los angeles the hollywoo sign an beyon that rain in the mountains httptcow5nf0ibtr,viewowntownlosangeleshollywoosignbeyonrainmountainshttptcow5nf0ibtr
41,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative, hey first time flyer next week  excite but im having a har time getting my flights ae to my elevate account help,heyfirsttimeflyernextweekexciteimhartimegettingflightsaeelevateaccounthelp
42,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,neutral, plz help me win my bi upgrae for my flight 227 laxgtsea  ,plzhelpwinbiupgraeflight227laxgtsea
43,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,neutral, i have an unuse ticket but move to a new city where you ont fly how can i fly with you before it expires ,unuseticketmovenewcityontflyflyexpires
44,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,neutral, are flights leaving allas for seattle on time feb 24,flightsleavingallasseattletimefeb24
45,@VirginAmerica I'm #elevategold for a good reason: you rock!!,positive, im  for a goo reason you rock,imgooreasonrock
46,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,neutral,  ream httptcooa2rfaoq2 httptcolwwac2khx,reamhttptcooa2rfaoq2httptcolwwac2khx
47,@VirginAmerica wow this just blew my mind,positive, wow this just blew my min,wowblewmin
48,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,neutral,   after last night     i think  agree,lastnightthinkagree
49,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,neutral,   all were entertaining,entertaining
50,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",neutral, is flight 769 on its way was suppose to take off 30 minutes ago website still shows on time not in flight thanks,flight769waysupposetake30minutesagowebsitestillshowstimeflightthanks
51,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,positive,   julie anrews all the way though  was very impressive no to ,julieanrewswaythoughimpressive
52,@VirginAmerica wish you flew out of Atlanta... Soon?,neutral, wish you flew out of atlanta soon,wishflewatlantasoon
53,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,neutral,   julie anrews hans own,julieanrewshans
54,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,neutral, will flights be leaving allas for la on february 24th,flightsleavingallaslafebruary24th
55,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,negative, hi im so excite about your 99 lgagtal eal but ive been trying 2 book since last week amp the page never loas thx,hiimexcite99lgagtalealivetrying2booksincelastweekamppageneverloasthx
56,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,positive, you know it nee it on my spotify stat ,knowneespotifystat
57,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,positive,    im lay gaga she is amazing ,imlaygagaamazing
58,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,neutral,    carrie,carrie
59,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,neutral, new marketing song  let us know what you think,newmarketingsongletusknowthink
60,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,neutral,   julie anrews first but lay gaga wow me last night carrie meh,julieanrewsfirstlaygagawowlastnightcarriemeh
61,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,negative, i calle a 34 weeks ago about aing 3 flights from 2014 to my elevatethey still havent shown uphelp,calle34weeksagoaing3flights2014elevatetheystillhaventshownuphelp
62,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",neutral,   all are great  but i have to go with  ,greatgo
63,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",neutral,   sorry mary martin ha it first,sorrymarymartinhafirst
64,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,positive,    love all three but you really cant beat the classics,lovethreereallycantbeatclassics
65,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,neutral, flight 0736 al to ca 224 210pm trie to check in coul not status please,flight0736alca224210pmtriecheckcoulstatusplease
66,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,negative, heyyyy guyyyys been trying to get through for an hour can someone call me please ,heyyyyguyyyystryinggethoursomeonecallplease
67,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",negative, hi virgin im on hol for 4050 minutes  are there any earlier flights from la to nyc tonight earlier than 1150pm,hivirginimhol4050minutesearlierflightslanyctonightearlier1150pm
68,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,positive, congrats on winning the  awar for best eals from an airline us httptcokj1iljaebv,congratswinningawarbestealsairlineushttptcokj1iljaebv
69,@VirginAmerica everything was fine until you lost my bag,negative, everything was fine until you lost my bag,everythingfinelostbag
70,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,neutral, nee to change reservation have virgin creit car o i nee to moify on phone to waive change fee or can i o online,neechangereservationvirgincreitcarneemoifyphonewaivechangefeeonline
71,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,neutral, i emaile your customer service team let me know if you nee the tracking number,emailecustomerserviceteamletknowneetrackingnumber
72,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",neutral, hi i just booke a flight but nee to a baggage how can i o this,hibookeflightneebaggage
73,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,negative, your airline is awesome but your lax loft nees to step up its game 40 for irty tables an floors httptcohy0vrfhjht,airlineawesomelaxloftneesstepgame40irtytablesfloorshttptcohy0vrfhjht
74,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",positive, not worrie its been a great rie in a new plane with great crew all airlines shoul be like this,worriegreatrienewplanegreatcrewairlinesshoullike
75,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,positive, awesome i flew yall sat morning any way we can correct my bill ,awesomeflewyallsatmorningwaycorrectbill
76,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",neutral, or watch some of the best stuent films in the country at 35000 feet  httptcokek5pmgif,watchbeststuentfilmscountry35000feethttptcokek5pmgif
77,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,neutral, first time flying you all o you have a ifferent ratepolicy for meia bags thanks,firsttimeflyingifferentratepolicymeiabagsthanks
78,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,negative, what is going on with customer service is there anyway to speak to a human asap thank you,goingcustomerserviceanywayspeakhumanasapthank
79,@VirginAmerica what happened to Doom?!,neutral, what happene to oom,happeneoom
80,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,negative, why cant you supp the biz traveler like   an have customer service like  ,cantsuppbiztravelerlikecustomerservicelike
81,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,positive, ive applie more then once to be a member of the  crew teamim 100 intereste   g,iveappliemembercrewteamim100interesteg
82,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative, youre the best whenever i begrugingly use any other airline im elaye an late flight ,yourebestwheneverbegruginglyuseairlineimelayelateflight
83,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,negative, i have no interesting flying with you after this i will cancelle flight my next four flights i planne,interestingflyingcancelleflightnextfourflightsplanne
84,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,negative, it was a isappointing experience which will be share with every business traveler i meet ,isappointingexperienceshareeverybusinesstravelermeet
85,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,negative, im having trouble aing this flight my wife booke to my elevate account help httptcopx8hqoks3r,imtroubleaingflightwifebookeelevateaccounthelphttptcopx8hqoks3r
86,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,neutral, cant bring up my reservation online using flight booking problems coe,cantbringreservationonlineusingflightbookingproblemscoe
87,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,neutral, ranom q whats the istribution of elevate avatars i bet that kitty has a isproportionate share httptcoaptzpurop4,ranomqwhatsistributionelevateavatarsbetkittyisproportionatesharehttptcoaptzpurop4
88,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,neutral, i lt3 flying va but life happens an i am trying to  my trip jperhi  can you helpva home page will not let me ,lt3flyingvalifehappenstryingtripjperhihelpvahomepagelet
89,@VirginAmerica Why is the site down?  When will it be back up?,negative, why is the site own  when will it be back up,siteback
90,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",neutral, you own with rnp yeah you know me,rnpyeahknow
91,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",neutral, hi i i not get points on my elevate account for my most recent flight how o i a the flight an points to my account,higetpointselevateaccountrecentflightflightpointsaccount
92,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,negative, i like the tv an interesting vieo  just isappointe in cancelle flightle flight when other flights went out to jfk on saturay ,liketvinterestingvieoisappointecancelleflightleflightflightswentjfksaturay
93,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",negative, just lane in lax an hour after i shoul of been here your no late flight bag check is not business travel frienly ,lanelaxhourshoullateflightbagcheckbusinesstravelfrienly
94,@VirginAmerica why is flight 345 redirected?,neutral, why is flight 345 reirecte,flight345reirecte
95,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",negative, is it me or is your website own  btw your new website isnt a great user experience  time for another reesign,websitebtwnewwebsiteisntgreatuserexperiencetimeanotherreesign
96,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,negative, i cant check in or a a bag your website isnt working ive trie both esktop an mobile httptcoavyqmpi1y,cantcheckbagwebsiteisntworkingivetrieesktopmobilehttptcoavyqmpi1y
97,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,negative,  let 2 scanne in passengers leave the plane than tol someone to remove their bag from 1st class bin ,let2scannepassengersleaveplanetolsomeoneremovebag1stclassbin
98,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,negative, what is your phone number i cant fin who to call about a flight reservation,phonenumbercantfincallflightreservation
99,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,negative, is anyone oing anything there toay  website is useless an no one is answering the phone,anyoneoinganythingtoaywebsiteuselessoneansweringphone
100,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,neutral, trying to a my boy prince to my ressie sf this thursay  from lax httptcogsb2j3c4gm,tryingboyprinceressiesfthursaylaxhttptcogsb2j3c4gm
101,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,negative, why must a traveler miss a flight to late flight check a bag  i misse my morning appointments an you lost my business ,musttravelermissflightlateflightcheckbagmissemorningappointmentslostbusiness
102,@VirginAmerica check out new music http://t.co/maRcnOCWzn,neutral, check out new music httptcomarcnocwzn,checknewmusichttptcomarcnocwzn
103,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,negative, hows a irect flight fllgtsfo have unexpecte layover in vegas 4 fuel yet peeps next to me bought for vegas flight ,howsirectflightfllgtsfounexpectelayovervegas4fuelyetpeepsnextboughtvegasflight
104,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,negative, your no late flight bag check just lost you my business i misse flight an am apt three other people on flight ha same exp,lateflightbagchecklostbusinessmisseflightaptthreepeopleflighthaexp
105,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",positive,  amazing customer  service again  raeann in sf  shes the best   ,amazingcustomerserviceraeannsfshesbest
106,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,negative, calle your service line an was hung up on this is awesome ,calleservicelinehungawesome
107,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,negative, your site is tripping im trying to check in an im getting the plain text version i am reluctant to enter any car info,sitetrippingimtryingcheckimgettingplaintextversionreluctantentercarinfo
108,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,neutral, i was scheule for sfo 2 al flight 714 toay change to 24th ue weather looks like flight still on,scheulesfo2alflight714toaychange24thueweatherlookslikeflightstill
109,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",positive, has getaway eals through may from 59 oneway lots of cool cities httptcotzzjhuibch  ,getawayealsmay59onewaylotscoolcitieshttptcotzzjhuibch
110,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",neutral, has getaway eals through may from 59 oneway lots of cool cities httptcorpbpx3wn  ,getawayealsmay59onewaylotscoolcitieshttptcorpbpx3wn
111,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",positive, has getaway eals through may from 59 oneway lots of cool cities httptcob2xi4yg5t8  ,getawayealsmay59onewaylotscoolcitieshttptcob2xi4yg5t8
112,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",neutral, has getaway eals through may from 59 oneway lots of cool cities httptcoqljhsloi5  ,getawayealsmay59onewaylotscoolcitieshttptcoqljhsloi5
113,@VirginAmerica Have a great week 🌞✈,positive, have a great week ,greatweek
114,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,positive, come back to  alreay we nee you to take us out of this horrible col  httptcoglxfwp6nqh,comebackalreayneetakeushorriblecolhttptcoglxfwp6nqh
115,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",negative, shoul i be concerne that i am about to fly on a plane that nees to be elaye ue to a tech stop,shoulconcerneflyplaneneeselayeuetechstop
116,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",positive, is the best airline i have flown oneasy to change your reservationhelpful representatives amp a comfortable flying experience,bestairlineflownoneasychangereservationhelpfulrepresentativesampcomfortableflyingexperience
117,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,positive, an again another rep kicke butt naelah represents your team so beautifully thank you,anotherrepkickebuttnaelahrepresentsteambeautifullythank
118,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,positive, your beautiful fronten esign is own right now but it was cool to still book my ticket bc all your backen was secure,beautifulfrontenesignrightcoolstillbookticketbcbackensecure
119,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",positive, love the team running gate e9 at las tonight waite for a elaye flight an they kept things entertaining,loveteamrunninggatee9lastonightwaiteelayeflightkeptthingsentertaining
120,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,negative, use another browser 2015 amp a bran with a reputation built on tech response oesnt have a crossbrowser compatible website,useanotherbrowser2015ampbranreputationbuilttechresponseoesntcrossbrowsercompatiblewebsite
121,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",negative, an now the flight flight booking problems site is totally own folks what is the problem,flightflightbookingproblemssitetotallyfolksproblem
122,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,negative, i like the customer service but a 40 min elay just for connecting passengers seems too long va370,likecustomerservice40minelayconnectingpassengersseemslongva370
123,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,positive, thanks to your outstaning nycjfk crew who move mountains to get me home to san francisco tonight,thanksoutstaningnycjfkcrewmovemountainsgethomesanfranciscotonight
124,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,positive, you have the absolute best team an customer service ever  every time i fly with you im elighte  thank you,absolutebestteamcustomerserviceevereverytimeflyimelightethank
125,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",neutral, o you provie complimentary upgraes to first class if there are available seats,proviecomplimentaryupgraesfirstclassavailableseats
126,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative, i nee to change my flight thats scheule in 9 hours an 120 min wait time on phone im calling intern help,neechangeflightthatsscheule9hours120minwaittimephoneimcallinginternhelp
127,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,positive, completely awesome experience last month boslas nonstop thanks for such an awesome flight an epart time ,completelyawesomeexperiencelastmonthboslasnonstopthanksawesomeflighteparttime
128,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,neutral, how can i watch the  on my jfkgtsfo flight,watchjfkgtsfoflight
129,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,neutral, is flight 882 cancelle flightle an what o i o if it is,flight882cancelleflightle
130,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,negative, you are failing your customers because your check in process oes not link to tsa precheck,failingcustomerscheckprocessoeslinktsaprecheck
131,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,negative,  us too terrible airline just gave us a hotel hotline number an sai sorry,usterribleairlinegaveushotelhotlinenumbersaisorry
132,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral, has flight number 276 from sfo to cabo san lucas arrive yet,flightnumber276sfocabosanlucasarriveyet
133,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,negative,  your assistance yesteray when u cancelle flightle our flight was to give us a hotel hotline  shame on you,assistanceyesterayucancelleflightleflightgiveushotelhotlineshame
134,@VirginAmerica Another delayed flight? #likingyoulessandless,negative, another elaye flight ,anotherelayeflight
135,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,negative, i nee to register a service og for a first class ticket from sfo gt ulles the phone queue is an hour or longer pls avise,neeregisterserviceogfirstclassticketsfogtullesphonequeuehourlongerplsavise
136,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,positive, you rock for making it so i can watch  on my flight   ,rockmakingwatchflight
137,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",neutral,  roppe a track on you ,roppetrack
138,@VirginAmerica always!!! Xoxo,positive, always xoxo,alwaysxoxo
139,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,negative, why cant we book seats on your flights when we buy them or even uring check in creates so much anxiety ,cantbookseatsflightsbuyevenuringcheckcreatesmuchanxiety
140,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,negative, you think paying an extra 100 bucks rt for luggage might affor you hiring an extra han at  ,thinkpayingextra100bucksrtluggagemightafforhiringextrahan
141,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,positive, best customer service rep in the worl  takes the cake,bestcustomerservicerepworltakescake
